feature,importance
nr.employed,0.4559224
duration,0.060952723
cons.conf.idx,0.04456645
month_oct,0.044141263
emp.var.rate,0.040730633
month_may,0.025130605
pdays,0.016852843
poutcome_success,0.014139208
euribor3m,0.013696229
cons.price.idx,0.012512793
default_no,0.011813944
job_retired,0.010590818
contact_telephone,0.009977869
day_of_week_mon,0.009572282
education_unknown,0.00923157
contact_cellular,0.008926687
poutcome_failure,0.008750894
day_of_week_wed,0.00837278
job_blue-collar,0.008327021
day_of_week_thu,0.007859871
month_apr,0.0070629334
default_unknown,0.006619099
education_basic.9y,0.0063375793
loan_yes,0.0062851063
day_of_week_tue,0.0061969534
age,0.0059560994
month_nov,0.00584152
day_of_week_fri,0.0056743645
job_services,0.0056353533
poutcome_nonexistent,0.0055565215
education_university.degree,0.005350614
job_unemployed,0.00524414
month_mar,0.005198882
campaign,0.0050942837
job_self-employed,0.004983911
education_basic.4y,0.004889792
month_jul,0.0048385416
education_professional.course,0.00469732
marital_divorced,0.0045922077
job_student,0.0044613895
job_management,0.0043131653
education_high.school,0.0041410364
job_admin.,0.004107467
month_dec,0.00409968
previous,0.004046014
loan_no,0.004042957
marital_married,0.003991693
marital_single,0.0039050598
month_aug,0.0037272994
job_technician,0.0036928924
housing_unknown,0.003689604
housing_no,0.0035148794
housing_yes,0.0033269115
job_housemaid,0.0032678419
job_entrepreneur,0.003146304
month_jun,0.003062549
month_sep,0.0026124727
education_basic.6y,0.002599702
job_unknown,0.0021271247
loan_unknown,0.0
