iter	F1	Logloss
0	0.6984003917	0.6763599511
1	0.6984003917	0.6631551496
2	0.6984003917	0.650956281
3	0.6984003917	0.6402777348
4	0.6978311481	0.6310598083
5	0.6983579454	0.6217720988
6	0.6983579454	0.6153231471
7	0.6983579454	0.6085273273
8	0.6984003917	0.6013160769
9	0.6984146416	0.5958990429
10	0.6984003917	0.5900918282
11	0.6984997909	0.5858137404
12	0.698684613	0.5814289054
13	0.6987131116	0.5773549001
14	0.6990255637	0.5739806751
15	0.6990398141	0.570835329
16	0.6990540651	0.5674614686
17	0.6990683167	0.5644811262
18	0.6988693711	0.5618703391
19	0.6987273617	0.5598013434
20	0.6985425357	0.5576406899
21	0.6984712973	0.5560833614
22	0.6986703646	0.5545560759
23	0.6984712973	0.5527189959
24	0.6984855438	0.5513528025
25	0.6986703646	0.5501403847
26	0.698698862	0.5487849236
27	0.698628041	0.5477361339
28	0.698827129	0.5467751149
29	0.6990261561	0.5458179265
30	0.698827129	0.544630186
31	0.698827129	0.5439527594
32	0.698628041	0.5433241616
33	0.698628041	0.5424666067
34	0.698628041	0.5418242794
35	0.6986708015	0.5410813736
36	0.6986565474	0.540559128
37	0.6986422939	0.5399160334
38	0.6986565474	0.5394111176
39	0.6988418958	0.5388402284
40	0.6991129666	0.5383047192
41	0.6991415126	0.5377984703
42	0.6988561575	0.5373509595
43	0.6989702716	0.5366949532
44	0.6993707094	0.5360236356
45	0.6992571096	0.5356157704
46	0.6996423097	0.5351152265
47	0.6997996484	0.5347711872
48	0.6996288685	0.5345090778
49	0.6996717892	0.5340693831
50	0.6996145628	0.5337297761
51	0.699828263	0.5334051239
52	0.6997853419	0.5331383969
53	0.699828263	0.5327694689
54	0.6997996484	0.5323170624
55	0.7002686662	0.5321072133
56	0.6999417482	0.5316914275
57	0.6999560547	0.5314688775
58	0.6999417482	0.5312843458
59	0.699942745	0.53106297
60	0.6999856854	0.5307485896
61	0.7000143152	0.5305229954
62	0.7000143152	0.5303630529
63	0.7001420934	0.5301308676
64	0.7004416094	0.5298283647
65	0.7016826481	0.5294596723
66	0.7021237455	0.5293323114
67	0.7024949661	0.5291820862
68	0.7025811398	0.5288977256
69	0.7028110396	0.5287191046
70	0.7033670412	0.5283623589
71	0.7031681427	0.5283379352
72	0.7036836237	0.5280685797
73	0.7036836237	0.5276835937
74	0.7036692274	0.5275574958
75	0.70342711	0.5271870925
76	0.7037673334	0.5269377042
77	0.7037673334	0.5267612763
78	0.7042771731	0.5265078249
79	0.7044757817	0.5263306623
80	0.7045333769	0.5262075169
81	0.7046341912	0.5259571104
82	0.7052585335	0.5257618742
83	0.7052330335	0.5254673465
84	0.7053051211	0.525398893
85	0.7052729446	0.5251871922
86	0.7056010789	0.5250270594
87	0.7058029965	0.5248710153
88	0.7061275361	0.5246941599
89	0.7060302278	0.5245055613
90	0.7061456853	0.5243077488
91	0.7060735199	0.5241534132
92	0.7060590886	0.5239362705
93	0.7066105573	0.5237982878
94	0.7066249923	0.5237348029
95	0.706841589	0.5236124216
96	0.7068271451	0.5234552339
97	0.7066906593	0.5232489543
98	0.7068889729	0.5230049962
99	0.7067773733	0.5229128934
100	0.7067484663	0.5228242605
101	0.706676209	0.5226448612
102	0.7067195616	0.5225747544
103	0.7067484663	0.5223994188
104	0.7065250752	0.5222261759
105	0.7065539891	0.5221562458
106	0.7068102998	0.5220678229
107	0.7068247619	0.5218511859
108	0.7070665739	0.5216717459
109	0.7069983525	0.521415013
110	0.7072981049	0.521317174
111	0.7072981049	0.5212048793
112	0.7074820188	0.5209275159
113	0.707089323	0.5208070921
114	0.706648642	0.5205837534
115	0.7073125806	0.5203881098
116	0.7072588983	0.5202991382
117	0.707641298	0.5201294556
118	0.7074139272	0.5200235877
119	0.7075978511	0.5199103642
120	0.7074573704	0.5198479563
121	0.7083908575	0.5195157519
122	0.7083908575	0.5194390471
123	0.7084198362	0.519259831
124	0.7084343264	0.5191123147
125	0.7084053465	0.5190829943
126	0.7081637245	0.5190331335
127	0.7082506495	0.5188782824
128	0.7088884572	0.5186022937
129	0.7090429556	0.5184289362
130	0.7089609473	0.5182651807
131	0.7089754471	0.5180766841
132	0.7088643849	0.5179291206
133	0.7090769624	0.5176592475
134	0.7093184979	0.5175482887
135	0.7094439162	0.5174373
136	0.7096127898	0.5171632068
137	0.7098159509	0.5169827677
138	0.7100138016	0.5167970991
139	0.7102406313	0.5165926815
140	0.7100573567	0.5165880424
141	0.7100573567	0.5164617222
142	0.7100863964	0.5164103509
143	0.7104964583	0.516264542
144	0.7103769243	0.5159683649
145	0.7105456925	0.5158626166
146	0.710816145	0.515602958
147	0.711226065	0.5154546371
148	0.7117459539	0.5153109771
149	0.7117314098	0.5151894255
150	0.711461239	0.5151070384
151	0.7114321621	0.514959759
152	0.7115630269	0.5148617064
153	0.7119579098	0.5147949164
154	0.7122652588	0.5147002625
155	0.712279806	0.5145473681
156	0.7123089021	0.5142927185
157	0.712279806	0.5142081894
158	0.7122652588	0.5141150148
159	0.712279806	0.5140290448
160	0.7123380006	0.5139679323
161	0.7123380006	0.5138481093
162	0.7123897419	0.5136425662
163	0.7124042879	0.513563226
164	0.7128937138	0.5133832885
165	0.7127257883	0.5133386645
166	0.7134476672	0.5131913507
167	0.71325075	0.5130234841
168	0.7132216395	0.5129903069
169	0.7140089328	0.5127915857
170	0.7141910423	0.5127228507
171	0.7140380576	0.5124233283
172	0.7137976401	0.5122842491
173	0.7137976401	0.5122195942
174	0.7136299651	0.51201788
175	0.7137976401	0.5117865585
176	0.7132944202	0.5116871687
177	0.7132944202	0.5115873279
178	0.7133089781	0.5114699541
179	0.7133235366	0.5113987338
180	0.7133526554	0.5111985616
181	0.7132944202	0.5110021161
182	0.7132798629	0.5108905013
183	0.7130605244	0.5106591024
184	0.71345459	0.510456451
185	0.7130750853	0.5103693507
186	0.7132867133	0.5102634873
187	0.7134982852	0.5102282677
