iter	F1	Logloss
0	0.7216453594	0.6780550288
1	0.7207474193	0.6636045365
2	0.7233142678	0.6515505775
3	0.723577596	0.6419891927
4	0.7232914723	0.6309878519
5	0.7054562689	0.6209156867
6	0.7118818991	0.6128847337
7	0.7118818991	0.6055996903
8	0.7118695731	0.5985949052
9	0.7119597848	0.5926016393
10	0.7098927555	0.5872563595
11	0.711101222	0.5828046989
12	0.7106470198	0.5784574512
13	0.7074860566	0.5750439881
14	0.7073357781	0.5713907129
15	0.7077756287	0.5683002688
16	0.7077748	0.5659462536
17	0.7080250198	0.5630254253
18	0.7086999959	0.5612862727
19	0.7107613064	0.5591607149
20	0.7090235874	0.5571172476
21	0.7099545377	0.555114645
22	0.7137359672	0.5529830683
23	0.7136391424	0.5515968269
24	0.7136374472	0.5503482705
25	0.7149740497	0.548950044
26	0.7165400564	0.5477377403
27	0.716915349	0.546934093
28	0.7167891399	0.5457617392
29	0.7164749522	0.5449172381
30	0.7158264354	0.5437894806
31	0.7174437753	0.543371381
32	0.7169215141	0.5425378799
33	0.7180010212	0.5420552338
34	0.7171833496	0.5414285067
35	0.7170509333	0.5408415894
36	0.7175106449	0.5400131994
37	0.7176128256	0.5393626447
38	0.7182522605	0.5387683232
39	0.7189463255	0.5380707629
40	0.7184911918	0.5378673819
41	0.7187188786	0.5375619113
42	0.7190413896	0.5369215867
43	0.7196929359	0.5365477768
44	0.7208562032	0.5363515844
45	0.7198864839	0.536021237
46	0.7195943401	0.5355655117
47	0.7196933739	0.5352694416
48	0.7201462797	0.5349835029
49	0.7207484771	0.5345871998
50	0.7205672991	0.5342506274
51	0.7211752151	0.5341908005
52	0.7225831248	0.5340312982
