iter	Passed	Remaining
0	36	18284
1	71	17696
2	109	18157
3	130	16148
4	164	16324
5	200	16471
6	235	16617
7	272	16753
8	303	16565
9	340	16679
10	377	16778
11	402	16348
12	440	16491
13	478	16622
14	515	16664
15	548	16590
16	577	16407
17	610	16335
18	634	16053
19	663	15919
20	696	15883
21	727	15811
22	761	15787
23	793	15740
24	823	15655
25	857	15629
26	889	15579
27	919	15494
28	957	15548
29	989	15495
30	1028	15565
31	1056	15457
32	1094	15483
33	1128	15467
34	1162	15448
35	1195	15406
36	1237	15487
37	1272	15475
38	1312	15513
39	1345	15472
40	1362	15258
41	1395	15222
42	1426	15164
43	1463	15169
44	1491	15082
45	1527	15077
46	1559	15032
47	1596	15033
48	1629	14998
49	1663	14970
50	1695	14928
51	1709	14725
52	1730	14593
